time,temperature_2m,relative_humidity_2m,precipitation,pressure_msl,wind_speed_10m,cloud_cover,hour,dayofweek,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_roll_mean_3,temperature_2m_roll_mean_6,temperature_2m_roll_std_6,is_hot,is_raining,strong_wind,target_t_plus_1
2025-11-15 05:00:00,11.8,95,0.1,1006.6,7.3,95,5,5,11,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,12.1,12.6,12.4,12.166666666666666,12.700000000000001,0.814861951498535,0,1,0,11.0
2025-11-15 06:00:00,11.0,97,0.0,1006.7,3.9,87,6,5,11,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,11.8,12.1,12.6,11.633333333333333,12.200000000000001,0.7771743691090193,0,0,0,10.9
2025-11-15 07:00:00,10.9,98,0.0,1007.3,6.5,100,7,5,11,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,11.0,11.8,12.1,11.233333333333334,11.800000000000002,0.7127411872482201,0,0,0,10.9
2025-11-15 08:00:00,10.9,98,0.0,1007.4,6.0,95,8,5,11,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,10.9,11.0,11.8,10.933333333333335,11.549999999999999,0.7231873892705837,0,0,0,11.3
2025-11-15 09:00:00,11.3,98,0.0,1007.9,7.1,100,9,5,11,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,10.9,10.9,11.0,11.033333333333333,11.333333333333334,0.5085928299402873,0,0,0,12.4
2025-11-15 10:00:00,12.4,96,0.0,1008.0,6.9,100,10,5,11,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,11.3,10.9,10.9,11.533333333333333,11.383333333333335,0.6047037842337931,0,0,0,13.1
2025-11-15 11:00:00,13.1,91,0.0,1007.9,5.4,100,11,5,11,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,12.4,11.3,10.9,12.266666666666667,11.6,0.9295160030897807,0,0,0,13.8
2025-11-15 12:00:00,13.8,89,0.0,1008.1,5.0,100,12,5,11,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,13.1,12.4,11.3,13.1,12.066666666666668,1.224200419321389,0,0,0,13.1
2025-11-15 13:00:00,13.1,95,0.1,1007.7,2.3,100,13,5,11,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,13.8,13.1,12.4,13.333333333333334,12.433333333333332,1.1307814407155174,0,1,0,13.2
2025-11-15 14:00:00,13.2,95,1.5,1007.5,5.2,100,14,5,11,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,13.1,13.8,13.1,13.366666666666665,12.816666666666668,0.8658329323066075,0,1,0,13.0
